Итерация,NGRADE,INIT-DEC-TBPND_PRE_EXP,INIT-DEC-TAPND_PRE_EXP,INIT-DEC-TOPPI_PRE_EXP,INIT-DEC-TOPND_PRE_EXP,INIT-DEC-TAPPI_PRE_EXP,INIT-DEC-TBPEH_PRE_EXP,INIT-DEC-TBPIN_PRE_EXP,INIT-DEC-DTBP_PRE_EXP,INIT-DEC-ETHYLENE_PRE_EXP,CHAIN-INI-ETHYLENE_PRE_EXP,CHAIN-INI-PROPYLEN_PRE_EXP,PROPAGATION-ETHYLENE-ETHYLENE_PRE_EXP,PROPAGATION-ETHYLENE-PROPYLEN_PRE_EXP,PROPAGATION-PROPYLEN-ETHYLENE_PRE_EXP,PROPAGATION-PROPYLEN-PROPYLEN_PRE_EXP,CHAT-MON-ETHYLENE-ETHYLENE_PRE_EXP,CHAT-MON-ETHYLENE-PROPYLEN_PRE_EXP,CHAT-MON-PROPYLEN-ETHYLENE_PRE_EXP,CHAT-MON-PROPYLEN-PROPYLEN_PRE_EXP,CHAT-AGENT-ETHYLENE-PAL_PRE_EXP,CHAT-AGENT-PROPYLEN-PAL_PRE_EXP,TERM-DIS-ETHYLENE-ETHYLENE_PRE_EXP,TERM-DIS-ETHYLENE-PROPYLEN_PRE_EXP,TERM-DIS-PROPYLEN-ETHYLENE_PRE_EXP,TERM-DIS-PROPYLEN-PROPYLEN_PRE_EXP,TERM-COMB-ETHYLENE-ETHYLENE_PRE_EXP,TERM-COMB-ETHYLENE-PROPYLEN_PRE_EXP,TERM-COMB-PROPYLEN-ETHYLENE_PRE_EXP,TERM-COMB-PROPYLEN-PROPYLEN_PRE_EXP,B-SCISSION-ETHYLENE_PRE_EXP,B-SCISSION-PROPYLEN_PRE_EXP,CHAT-POL-ETHYLENE-ETHYLENE_PRE_EXP,CHAT-POL-ETHYLENE-PROPYLEN_PRE_EXP,CHAT-POL-PROPYLEN-ETHYLENE_PRE_EXP,CHAT-POL-PROPYLEN-PROPYLEN_PRE_EXP,SC-BRANCH-ETHYLENE-ETHYLENE_PRE_EXP,SC-BRANCH-ETHYLENE-PROPYLEN_PRE_EXP,SC-BRANCH-PROPYLEN-ETHYLENE_PRE_EXP,SC-BRANCH-PROPYLEN-PROPYLEN_PRE_EXP,LDPE,MWW,MWN,FSCB
188,1,123812475920961.2,151412106097489.1,76457859135969.69,78413933839604.31,401158517583237.6,29582391879693.25,200557396378436.5,302576737981181.8,1009040923.296802,68843304.16921695,25199774.59437642,78562012.33714245,16787227.61529091,31919380.36937808,10548649.23038584,330569.8894621645,9804.513628680996,6534.702987325971,7436.721398408015,413789.589092453,505650.4680385821,62667086.74359762,87171286.23150398,77282624.3049891,84393436.69601935,75867418.19418229,72794483.66192709,75797526.00344668,88910536.89296901,1410.597785952619,1556.954103494794,866.0052063105131,788.7668048363549,848.1435635826638,694.0029095885467,240118658642.4005,1070674820.034257,1244637087.885944,1196452713.347075,18195.9699,156240.899,17154.9756,22.3905546
189,1,125096691158924.0,171607491391369.6,82575165162158.0,90771489116666.42,393464291023088.8,25570460968163.82,206265186145702.7,291515766754265.8,868849897.2459162,49467055.59268594,31919949.84009101,71838879.18193594,20465018.91898313,44689258.09129007,11399414.98220894,262104.8895329252,9086.932372536561,5531.602048353506,5659.672889149554,546922.8000174807,487366.0277057416,73175414.37181412,77279303.70775552,88054401.69853884,88701951.1618833,62720224.98905659,66498609.79313111,70288475.01041895,74593357.74302226,1611.121039193592,1224.027146288863,925.5460239864876,915.7588719991584,644.2119128577971,767.306360548749,249819648350.553,1003637720.6034,1040940330.640392,946397518.5401139,18139.6366,169779.771,17596.9267,25.3516682
190,1,164903915883384.6,171785586942680.6,77907139583256.94,90225668394278.48,456114159624780.1,32369165224104.05,185481632560811.6,331236647719453.4,1001298155.755386,53775623.80335837,25780714.63271742,63554173.06868526,23123542.15598455,35707981.09256894,8358299.76158896,387308.8383558479,7101.39151423103,5602.806326882376,7872.711067424435,435957.6292020635,450419.5914625028,88659160.47526477,71056519.5717061,91773421.29288602,90328420.28942566,63656339.48914199,87453238.08473077,80887751.51495802,84942237.33854845,1243.85044276995,1172.694670999185,669.9382498490668,654.9921410083352,891.9128435851308,884.4940981956197,237772183493.0772,1005268631.358843,1092413689.324076,924788289.665522,17952.8421,127766.716,15401.6384,27.0041906
191,1,137339795272446.6,174661616141578.2,71949540157374.86,66827608413683.39,339564273863213.2,31216929468507.85,183185097444722.9,256437572220024.7,1179709833.018129,72343716.50846827,23480340.43794986,72175275.71359588,21171869.1511492,34741759.49820121,11539799.50839104,299091.4975929144,8061.034794288907,5752.161061432439,6657.425833968627,385768.0985923804,391892.8696153256,73652915.29676645,89565799.13746399,92177358.67357628,90920946.04938576,73997390.12141623,86021754.73275356,90257683.22489253,74911221.09806904,1480.316546259262,1189.164942705875,856.9332173467625,769.318163873469,738.6546413416057,770.4259098100038,235659348596.7029,1243472576.688083,1144291670.556606,1135280309.943483,18312.002,178751.027,17457.1099,24.1192364
192,1,161591881782423.6,132663049645951.2,70811433841491.1,70944213412028.62,342944446610239.9,31456286722637.45,220158011954547.2,261835029217553.4,860802152.594057,66607860.09099013,28452566.37526195,75974198.3187963,20450769.06779311,43319846.7477783,11275124.12613159,303467.9772637652,8680.417977248851,6119.956206722571,8050.261366302369,399336.2635851513,465220.0760436861,84748859.79059777,69927379.02883384,88134910.89038853,88900642.45928673,90934696.93336056,74864870.70547283,76883823.22578126,68385433.3115955,1488.531308078407,1561.940875136208,725.920580944737,726.5999586397152,651.1461023526757,711.0904026350833,259403813338.3022,1079844266.922771,1144894617.373204,1262985584.693658,18225.6963,176422.596,17915.0699,25.0520861
193,1,148170068640900.4,175667341466300.4,86557337933226.56,61967134546699.34,373684212694226.4,27628261988361.45,174505302467547.5,311405503211702.2,842535322.0757942,55253648.2096514,25034450.33217404,65525880.91639496,20254322.15199075,32721884.74163477,8426555.507522145,322782.3834854476,9148.011982100672,5438.674023676661,5843.088250361171,547074.7189491462,531945.7825141307,92764570.04303633,79198632.26724188,73343600.57658212,88166416.17324907,67677998.62581563,63547568.08555912,83854123.55404207,63805927.18212082,1355.32160318868,1520.01412807911,833.9002019299286,672.9224589692743,678.0203364175921,708.897736888639,205720166219.3098,1190258140.12998,1111714754.43761,1278981394.336958,17944.7828,139564.697,15861.6746,22.7260527
194,1,176816413200158.6,159961055978881.1,73881515583946.69,74225963802077.33,432513614904867.3,27626258948123.62,213927519109947.5,291529446657392.0,840282707.2580822,56225281.07320483,27198166.00813063,63351628.62338661,16390317.00889508,37154234.00661219,10738032.57786019,288787.8564029193,7730.545140447422,6302.812102499516,7070.107052510273,492450.1370197251,388916.0168008605,74221915.38870993,72049123.64396796,76415896.34136416,70109557.08390728,85983647.40057018,66249460.63439683,75897317.91460204,64939326.79476278,1491.064813264708,1270.003949197355,882.8251730037205,887.0773664668941,773.4219390650735,866.5082758188378,224586873882.6099,955202952.8455037,1070213368.07024,923200239.5872179,18025.4253,157845.832,15736.689,25.7665471
195,1,132557639225757.5,175535752342123.9,63459957593605.28,79311410280978.05,392864206437878.6,30342539500521.61,230815307985621.1,262587008522721.7,815191362.1373597,62879453.85504735,23240001.26840361,60721012.98273527,19757284.83733104,42602799.38570467,11547364.39316575,327787.0822787274,7814.419161352899,5708.410018900479,6992.081683337698,546332.4114350246,421172.8092647199,63058339.61013406,81390728.072903,78139518.29148215,67179650.38173597,92781813.33433282,82651236.10676247,66702232.72692993,65646258.10196707,1299.302480182113,1322.166875667421,675.8981302271849,645.1139759183085,788.5397496495211,646.5616104964823,232162460002.9397,1255310396.90369,1030647952.284392,1185985825.077332,18121.2875,153609.615,15524.7606,27.9249277
196,1,132141738970433.6,135037620612457.9,69020351706004.95,67675519321523.9,339382002838114.6,36252004610233.48,215444969395564.5,310270265943794.2,1130452955.205722,69487059.99594544,24482679.15310371,54925997.89841042,19637140.19509978,37943017.62473544,8773739.438501954,352872.8451875663,9236.729050738857,5069.729094843588,6191.994412544993,530288.9511000308,436646.3185619427,69721128.86896624,88954119.43446971,75910055.66080126,90170371.92127296,72870944.67312756,64274600.67024179,87974547.19466335,69561159.22968516,1573.229507512403,1527.066813012843,826.8109837018219,816.6549010119385,914.9322669329767,651.9844491006746,252941471398.2973,1300066387.143164,936338954.6375283,1055071304.276164,17932.2554,117473.38,12810.7181,33.3519815
197,1,124074690799817.5,127539407449676.7,66469533204517.11,83505459695763.11,348437471707465.6,31757212343359.19,209904292610801.2,315375685346624.4,1117548533.53319,52506462.94028385,28290153.79405416,70752223.0905654,16439284.77197737,37303833.51096866,10449857.89775553,378679.1473545296,8736.841175350444,6366.775180171716,7584.592341647776,427002.9276027023,549552.2173251428,91833617.8542437,76713812.83768415,72191346.01152757,91631942.78702973,81034376.71076411,70710494.73268965,73523021.93550995,86570122.11998111,1445.816152617625,1508.766569863106,764.2713108076412,711.678327410978,656.315536349897,792.076720337831,265093280351.4427,901551546.3918172,1041498414.83888,982872413.9142406,18073.5352,124943.169,15312.8903,27.3036803
198,1,163295785251745.9,143875682827593.6,88217001855368.72,76508625228174.88,366271215788377.1,33483423411168.62,211668111884299.3,289666378420099.9,998121143.7499723,55584558.01886261,27290910.6949669,71502726.03718063,17580403.75055606,32856428.99429205,8360237.105377723,344419.7872368366,8968.234654956825,5290.684326858298,6195.063677831404,458232.7952737561,484250.7151484386,80211223.17945582,64468165.77948344,85511283.323883,88093804.71253169,74532040.86104023,65523604.70810633,78193080.36376743,74644155.72491714,1263.916299151479,1486.656968189997,808.8459617901307,753.0399078200417,878.2874821670658,854.3590682359759,198280524597.2903,945320537.8872062,932539093.1903882,1154509715.630494,18160.5229,145831.082,16685.0946,20.2981505
199,1,159781880774828.8,167846326969483.3,85379378318434.61,69410244285223.64,350652641709390.4,31836981104821.1,163630392854623.7,226250805213357.1,977495396.2367438,59128798.15329539,30416385.8907409,60567713.91965792,22683711.08777513,45246035.91858172,11595272.679117,387267.4537596358,7350.648905519548,5885.101766032438,7231.508258793333,391694.604914523,423930.5190910354,93573965.19518879,71329956.09792377,63140338.96104431,92930736.54754028,93094915.07745782,75684296.36803271,69125347.02659816,70423790.20294474,1386.770821489764,1186.560324811301,925.7281543973543,707.6003034736405,725.8403677619076,863.1887233113396,229299868420.7923,1129237021.583267,1008839382.026507,1236490709.384962,18214.9993,128484.593,14346.302,27.903166
200,1,143780087149405.3,118852461450592.0,70174535920743.06,83700217021277.27,443289535099349.5,33236148662595.12,221242817182581.5,297817995307299.8,918526174.1459589,69560160.8648809,28148213.7567351,77533090.9142223,17218912.55686716,39850688.77487069,10997743.55046937,352129.4460237477,9013.049876137111,6491.025147045108,5643.322526798795,455182.3935413751,540541.4633662684,77197316.50379254,88089282.01536766,90877640.95500445,68858393.05559845,75052102.36765479,67083740.35248475,80892740.51449174,93234339.82007495,1387.315569446161,1244.94116899841,759.4194673980884,933.5660308294827,685.5795016770007,938.2548762953979,270664501428.277,946937652.9371607,1056052309.445751,1276136492.059808,18206.6886,144743.969,17165.6781,25.5665843
0,2,152000000000000.0,147000000000000.0,76000000000000.0,76000000000000.0,412000000000000.0,30800000000000.0,194000000000000.0,280000000000000.0,1000000000.0,60600000.0,27500000.0,66660000.0,20000000.0,39270000.0,10250000.0,325000.0,8500.0,6100.0,6900.0,460000.0,460000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,78000000.0,1370.0,1370.0,805.0,805.0,805.0,805.0,245000000000.0,1100000000.0,1100000000.0,1100000000.0,18748.8304,192536.298,14008.4211,31.9123635
1,2,137773187003712.6,128130349287480.7,66969444001628.47,87780707221253.72,438380825416986.0,35818129062483.52,169615694207957.7,335061366018862.9,975252831.2358505,68103523.6217047,31215992.59227704,70046319.4728032,17627768.91820972,38086663.81296224,11116541.96004084,264974.0819712545,7323.303813253454,5232.443990817587,6544.03104409635,429111.9663895203,393754.3067110794,74047248.92544298,77880656.25573891,83585686.77899586,87513595.30001953,62752608.7141031,64712784.47340738,76004555.12844989,63054966.70469066,1183.89482691575,1300.794785813549,835.6975650749886,770.2772436799128,908.4859909004776,853.6319017256933,204955351476.7629,970183686.1559662,1133949747.001725,1277311943.57757,18756.5958,253157.614,16535.7637,25.2984693
