grade,FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
1,3.585152983427252e-06,4.4638887756731215e-09,201494601.39503247,210738326.1937976,1180593.8092709712,1078010.4194963735,61193267.1389342,2420859142.9458747,2748907785.188224,1215176059.9367518,100,65000,170,6,1.5,30717.3682,125714.02,26.922954,279.513859,219.364623,9084.89844
1,4.158146041293155e-06,3.7444753512229125e-09,204669084.31655008,200280578.6007561,1161984.4320020124,1285488.7355932645,62691366.23934225,2611800290.625932,2880027234.8999443,1134909377.1471286,100,65000,170,6,1.5,29158.2234,132047.013,26.4462951,278.092128,220.480035,9098.25044
1,3.396824411528525e-06,3.691739884164749e-09,243925527.6073327,241307533.64584804,1319054.0597915696,1183123.4010837264,71263057.58639666,2165298688.1300926,2658591357.2456784,1542549512.3467357,100,65000,170,6,1.5,29875.8137,128036.386,31.0416793,291.766652,222.563165,9818.66865
1,4.439265571923993e-06,3.521344920849026e-09,251555698.92474928,218285015.38307297,1455394.6648058128,996988.148040846,53150447.97505787,2262427581.6999955,2957277712.1091,1082935676.455749,100,65000,170,6,1.5,32619.384,131766.232,23.5937876,284.74393,221.572203,9473.4534
1,3.6790565173839378e-06,4.537891488639924e-09,287089846.5142553,246881596.71951813,1148799.7818806565,1346561.8696916378,53261528.54106587,2706071278.180568,2910372349.6321206,1329487342.636093,100,65000,170,6,1.5,37450.0079,197372.865,25.5300709,284.977422,220.467794,9384.36248
1,4.240278134414241e-06,3.543906988050688e-09,256943789.04489595,259729166.44027472,1010183.1677982316,1329275.4483357235,53315024.66191586,2436749013.073279,2599873098.758755,1469870372.77062,100,65000,170,6,1.5,39235.2066,218021.625,27.699209,294.471323,223.600789,10001.844
1,3.711713102369757e-06,4.014539846396036e-09,247555268.76239103,281331245.9460975,1085486.133878382,1350584.1828541872,69574960.87856056,2501604253.2106333,2787243813.4423046,1467780092.929415,100,65000,170,6,1.5,35136.9233,171888.997,25.5619541,295.205363,222.914364,10014.2221
1,4.106513939406342e-06,3.270965145535605e-09,230695431.3870724,262600360.95842144,1305772.763478126,1204674.907793072,58782872.99250382,2771338898.1572094,2680287492.1789474,1130230020.7433224,100,65000,170,6,1.5,35449.7864,161151.551,21.1145217,294.71892,223.909617,10034.8191
1,4.108649408069285e-06,4.4344358151609444e-09,209756851.1065749,212097353.70913485,1203356.2090631493,1033696.2546049382,69924985.53836118,2273482864.6772747,2887365789.408706,1181174847.688939,100,65000,170,6,1.5,28475.5792,108096.346,25.9849916,279.540107,218.931684,9118.88159
1,3.833910508115148e-06,4.459064919015875e-09,263676202.73551175,217942171.6847673,1429388.323704122,999010.1383630084,69345983.72198142,2582771896.37283,2544886718.0547915,1268210075.2417908,100,65000,170,6,1.5,27996.8016,101595.845,27.2856781,281.159599,219.170885,9197.80824
