FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
3.8607e-06,3.7905e-09,228802223.8784931,224652925.06145525,1395855.9792078435,1240000,60700000,2588373185.2210426,2949900809.8864903,1300000000,95.7970205498437,61267.00139687589,161.07292278767287,6.777059576873505,1.2486105187878624,30813.1931,136455.868,27.3959652,280.063362,214.128536,9002.54427
3.8607e-06,3.7905e-09,236600517.04713488,260707382.6111905,1499468.5783316875,1240000,60700000,2561967510.2251034,2695573653.24417,1300000000,98.25666746956475,67415.1031173738,160.58498678999308,5.32727809976031,1.7347936959588293,34296.4062,160186.485,24.2105789,294.640257,218.864367,10246.3096
3.8607e-06,3.7905e-09,232045616.2409189,261624612.22157085,1406752.0102407318,1240000,60700000,2082608235.4025118,2250439415.5162587,1300000000,98.91591439606208,65099.305113450646,170.3905219704555,4.001818122934234,1.138880724367682,35070.8009,174223.66,24.3586725,290.191822,223.250749,10018.2054
3.8607e-06,3.7905e-09,239964590.83494988,223885474.7989724,1275988.6346287099,1240000,60700000,2428244671.2919655,2168317097.140218,1300000000,98.49682969569884,62290.4400847872,175.16291495708924,4.486368723376547,1.9033641909281833,30805.8594,144498.413,28.1970602,292.381341,227.782186,9362.1252
3.8607e-06,3.7905e-09,237147366.16395307,295245846.0256172,1114604.2233390792,1240000,60700000,2145938410.6721985,2335577920.699973,1300000000,95.77046142238945,65832.70838282064,165.56926297166868,6.000529244137406,1.7479752970591993,38863.5486,198446.781,22.1422713,305.74168,223.902107,10665.0721
3.8607e-06,3.7905e-09,254275697.559475,226656606.02221304,1222879.5956185153,1240000,60700000,2936333323.315303,2418846225.7440987,1300000000,95.29373442277456,64878.64592897626,178.99756754107284,5.477676976538839,1.0079465472968905,32182.0635,141035.81,27.0974827,277.169416,223.860867,9206.17326
3.8607e-06,3.7905e-09,284539088.2162318,294471434.5399921,1272509.1013169736,1240000,60700000,2883595634.1813793,2592420453.7055492,1300000000,100.60332934982743,66898.81336035518,176.86409679239594,4.639186074736032,1.5343061926028636,38583.6113,183391.276,21.7805343,297.225919,229.033798,10309.8222
3.8607e-06,3.7905e-09,233106137.53395203,220787633.6493831,1322045.575208579,1240000,60700000,2545475606.651823,2819336882.121743,1300000000,96.62808858252785,69739.00495843716,166.04604966244602,6.3478865088121275,1.8045061905221544,31257.3001,140778.496,27.8837077,287.599779,219.940065,9950.32715
3.8607e-06,3.7905e-09,272334066.89195895,204517551.95048085,1404679.4919639025,1240000,60700000,2867003032.008314,2056418455.357852,1300000000,104.65463179650413,65734.2056023045,170.0612024222592,5.4882469156785945,1.8874608679423224,28433.8645,122933.116,30.1280607,286.465744,222.957911,9445.35205
3.8607e-06,3.7905e-09,280785289.27494735,223205546.43702078,1016031.5267612537,1240000,60700000,2016853716.1767797,2311497844.959304,1300000000,100.37962896778399,69653.93419292441,165.23767052666307,6.224117959135748,1.7062102010185676,32941.1975,162529.681,27.9961519,292.268546,220.050419,10276.465
3.8607e-06,3.7905e-09,288940012.95947313,241204147.27418557,1071810.1377610997,1240000,60700000,2203601347.697508,2974733686.1382675,1300000000,96.76319864231914,66818.95313072245,160.47987093075105,4.812090358009597,1.1961861556426259,35536.8707,181095.089,25.6857074,282.788855,216.279152,9816.58907
3.8607e-06,3.7905e-09,201495014.99519387,227095655.3023592,1044178.3319065201,1240000,60700000,2998566688.0834,2866104929.6291184,1300000000,97.33922620921231,61643.46099991386,162.47732187060996,6.588350868738162,1.5063002818807187,32519.1223,147002.636,27.1494134,282.938014,216.498569,9050.92772
3.8607e-06,3.7905e-09,297475932.5023418,288381329.9656158,1318648.3301412743,1240000,60700000,2153508493.848254,2518471608.2837424,1300000000,96.1329255972709,68552.26293259938,179.96439503487818,5.963663763455184,1.8309513355231943,37386.0045,181389.345,22.5076089,304.795406,232.125902,10765.7728
3.8607e-06,3.7905e-09,214894643.5714303,251588179.5786326,1133795.74774164,1240000,60700000,2293588009.2635136,2113673100.4319377,1300000000,103.05287668581984,68295.49690807307,172.57988836584198,5.99623692807341,1.2344851701007387,35140.152,167100.441,25.1218026,291.411402,223.128736,10292.9043
3.8607e-06,3.7905e-09,212720365.62672627,213742921.47180173,1130580.8990591418,1240000,60700000,2992484606.887757,2922887864.904671,1300000000,96.24025458710375,68925.44970700395,170.93378489655603,4.810928780613261,1.5845674619423966,31875.9563,145289.945,28.4326017,279.759593,223.033409,9513.93321
