FRPRE_EXP_0,FRPRE_EXP_1,FRPRE_EXP_2,FRPRE_EXP_3,FRPRE_EXP_4,FRPRE_EXP_5,FRPRE_EXP_6,FRPRE_EXP_7,FRPRE_EXP_8,FRPRE_EXP_9,E2FD_TEMP,E2FD_FLOW,PFR1_TEMP,INIFD1_FLOW1,INIFD1_FLOW2,MWN_LDPE,MWW_LDPE,FSCBN_LDPE,TMAX_PFR1,TEMP_OUT,FLOW_LDPE
4.63016301433451e-06,3.845289054204246e-09,277549800.06826735,263065425.54669172,1454606.8107147987,1367409.9950534953,71435158.90344194,2455443540.552778,2853284795.7027693,1127512013.5448153,103.51319888991334,57034.61469660871,168.23716787098786,6.7933885833171175,1.917413078117748,29872.857,134251.467,21.2201651,297.515037,222.101237,9075.53073
3.2419716279841427e-06,4.45980418857834e-09,271178437.7650393,224767072.74431348,1003659.1253611388,1145698.8425639244,48839839.55173756,2413457331.4608297,2820246931.354329,1288623184.2654343,102.42709026297035,62280.709309167825,168.0850620662541,7.648971301049869,1.738534430657969,36573.4926,175699.329,27.2487669,286.858519,219.588565,9072.01129
3.7001941286370895e-06,3.758357071924601e-09,263535759.61439982,232725687.91048387,1070324.231380484,1118820.7918213694,71746761.42468496,2537620602.076415,2906403927.345376,1118387292.3617296,116.69182569358176,61256.8292981583,168.2362467186357,6.561831281700259,1.9720962339910346,29344.0938,118767.748,23.2335692,292.242804,222.088592,9249.80086
3.850406795041818e-06,3.2815010925824455e-09,207698728.74806413,244294088.84028548,1258786.474747805,1133947.188037182,50062689.221559644,2575900717.8681183,2640852048.651745,1148230378.9062545,118.6462353754565,64765.000091632006,169.2112612629074,7.658185248752955,1.815877937871099,36322.2308,165054.143,23.0302396,297.373315,223.811038,9973.43769
4.397584352641059e-06,4.138949184044946e-09,259156360.31082606,236750585.85603118,1475350.467484394,1091583.450920901,62637101.69053538,2445341427.3501544,2212044973.9041224,1095758704.197621,110.08747414914514,63798.113777047845,168.8819657290044,6.972970423839544,1.7739161407626274,30503.4731,120113.348,22.3256357,292.725678,220.757458,9618.9502
3.106821605862944e-06,3.302637752508685e-09,225655299.82081124,281393392.2646521,1262358.621316103,1184043.1490832623,63728979.186415724,2357557110.80104,2359491552.1934414,1559684602.2669039,105.72960834336826,60595.3919869793,166.03953084987762,7.114765637121215,1.5444786244530984,34433.8595,157354.748,28.105607,303.831071,223.521299,9995.11769
3.6098282217265615e-06,3.6782886956077856e-09,237308004.61959773,274130677.45837677,1351795.070939624,1387159.3691674664,62156811.69529441,2330145362.194353,2895353638.318115,1249819394.0511951,116.28997866994919,61526.61344578629,168.18248682155914,6.045021279005281,1.5196898454981367,34982.3787,183411.756,22.5563041,296.239345,222.72134,9697.18838
4.520087448012775e-06,3.9279171640868616e-09,280145772.7464411,232029946.84339148,1265700.1698125834,1134612.2476508198,56449811.79108166,2961592772.490551,2398396773.158711,1515550534.6794348,101.14159882840748,64137.48020941678,166.2812584174667,6.146489861918357,1.9665677187757638,33088.8026,139662.503,31.2508464,290.67042,220.55528,9516.31204
4.08609507795531e-06,4.376440790796272e-09,241568342.79644668,221379411.91506237,1491421.7822019276,1186193.4258394197,54262963.812292516,2439049795.467717,2953380322.110767,1229326225.1308956,117.52386973011303,56105.78225432075,169.8642663555998,7.683166126856747,1.6201659037045932,30763.2039,131285.649,26.4795896,283.647057,218.871056,8302.69508
3.43245800947257e-06,3.276769614128909e-09,266205703.85090637,245111397.28219974,1097554.6059874003,1430533.4261448495,72145950.08075348,2218934808.241776,2658514912.47059,1510775841.9044275,118.79923776075388,62254.63438032637,167.95481381718326,6.222024846151012,1.896305763298999,30118.0575,154974.627,30.5417155,299.395031,224.398299,9811.96987
